District,ZIPCode,Population,TotalPopulation,Weight
5,76687,2011,1060800,0.00190
5,76693,1524,1060800,0.00144
5,77318,12,1060800,0.00001
5,77320,36991,1060800,0.03487
5,77340,34728,1060800,0.03274
5,77356,112,1060800,0.00011
5,77358,3638,1060800,0.00343
5,77363,3742,1060800,0.00353
5,77484,509,1060800,0.00048
5,77801,15665,1060800,0.01477
5,77802,25421,1060800,0.02396
5,77803,30177,1060800,0.02845
5,77807,13211,1060800,0.01245
5,77808,14813,1060800,0.01396
5,77830,2963,1060800,0.00279
5,77831,3001,1060800,0.00283
5,77837,1268,1060800,0.00120
5,77840,66392,1060800,0.06259
5,77843,1211,1060800,0.00114
5,77845,66622,1060800,0.06280
5,77856,5354,1060800,0.00505
5,77857,749,1060800,0.00071
5,77859,7521,1060800,0.00709
5,77861,3019,1060800,0.00285
5,77864,7188,1060800,0.00678
5,77865,1612,1060800,0.00152
5,77868,16721,1060800,0.01576
5,77871,3866,1060800,0.00364
5,77872,2010,1060800,0.00189
5,77873,1028,1060800,0.00097
5,78613,79238,1060800,0.07470
5,78615,898,1060800,0.00085
5,78621,697,1060800,0.00066
5,78626,41769,1060800,0.03937
5,78628,46505,1060800,0.04384
5,78633,26277,1060800,0.02477
5,78634,39917,1060800,0.03763
5,78641,63792,1060800,0.06014
5,78642,19443,1060800,0.01833
5,78660,23,1060800,0.00002
5,78664,53113,1060800,0.05007
5,78665,56874,1060800,0.05361
5,78681,56685,1060800,0.05344
5,78717,36403,1060800,0.03432
5,78727,27,1060800,0.00003
5,78728,2928,1060800,0.00276
5,78729,30691,1060800,0.02893
5,78750,12356,1060800,0.01165
5,78759,358,1060800,0.00034
6,77002,17,829336,0.00002
6,77003,6811,829336,0.00821
6,77007,6004,829336,0.00724
6,77009,29606,829336,0.03570
6,77011,16646,829336,0.02007
6,77012,18408,829336,0.02220
6,77013,8286,829336,0.00999
6,77015,35818,829336,0.04319
6,77016,1747,829336,0.00211
6,77017,31367,829336,0.03782
6,77020,13921,829336,0.01679
6,77022,19880,829336,0.02397
6,77023,26460,829336,0.03191
6,77026,2900,829336,0.00350
6,77029,8887,829336,0.01072
6,77032,3433,829336,0.00414
6,77034,30722,829336,0.03704
6,77037,18988,829336,0.02290
6,77038,16246,829336,0.01959
6,77039,28974,829336,0.03494
6,77044,28826,829336,0.03476
6,77049,5033,829336,0.00607
6,77050,2878,829336,0.00347
6,77060,38682,829336,0.04664
6,77061,23629,829336,0.02849
6,77067,13107,829336,0.01580
6,77075,42406,829336,0.05113
6,77076,31268,829336,0.03770
6,77078,8044,829336,0.00970
6,77087,34661,829336,0.04179
6,77088,4153,829336,0.00501
6,77089,24401,829336,0.02942
6,77093,47672,829336,0.05748
6,77396,19459,829336,0.02346
6,77502,26396,829336,0.03183
6,77503,19905,829336,0.02400
6,77504,1997,829336,0.00241
6,77506,35096,829336,0.04232
6,77520,32359,829336,0.03902
6,77521,7305,829336,0.00881
6,77523,690,829336,0.00083
6,77530,29668,829336,0.03577
6,77536,178,829336,0.00021
6,77547,9627,829336,0.01161
6,77562,622,829336,0.00075
6,77587,16153,829336,0.01948
7,77024,30688,1009368,0.03040
7,77040,4548,1009368,0.00451
7,77041,25272,1009368,0.02504
7,77042,3137,1009368,0.00311
7,77043,14295,1009368,0.01416
7,77063,185,1009368,0.00018
7,77064,29083,1009368,0.02881
7,77065,36666,1009368,0.03633
7,77068,10969,1009368,0.01087
7,77069,18471,1009368,0.01830
7,77070,52689,1009368,0.05220
7,77073,10254,1009368,0.01016
7,77079,10184,1009368,0.01009
