"year","zip5","denom","cases"
2017,"98403",1,0
2016,"77396",19807,17
2019,"75246",1452,8
2020,"75772",78,0
2021,"78564",167,0
2020,"75078",9599,18
2017,"70663",1,0
2019,"79512",3127,4
2020,"79223",11,0
2020,"75011",580,1
2022,"75682",132,0
2019,"77533",771,2
2021,"78371",144,0
2019,"68110",1,0
2017,"76861",885,5
2017,"70769",1,0
2022,"75630",612,0
2017,"79911",1051,1
2020,"74467",1,0
2017,"78717",10707,20
2019,"37874",1,0
2016,"75016",364,0
2018,"76622",490,1
2018,"97206",2,0
2017,"77045",18523,22
2018,"78765",168,0
2022,"75110",9764,8
2017,"78240",24182,59
2016,"35173",1,0
2020,"75013",12631,26
2021,"92082",1,0
2022,"78299",35,0
2022,"78280",8,0
2019,"76645",6693,7
2020,"53151",1,0
2022,"77993",22,0
2016,"78343",2618,5
2019,"80863",1,0
2020,"75475",121,0
2022,"77437",5078,5
2019,"78607",141,1
2016,"75202",656,0
2021,"18302",1,0
2020,"95630",1,0
2017,"77842",570,1
2020,"71826",5,0
2020,"75102",610,0
2020,"76208",10612,32
2016,"75226",1068,1
2016,"75432",2042,3
2018,"78263",2372,6
2016,"79925",18740,25
2017,"74728",2,0
2020,"75563",2668,6
2020,"77058",6653,9
2019,"19713",1,0
2022,"75671",189,0
2018,"77045",18392,19
2017,"76086",10973,41
2021,"67601",1,0
2017,"75704",5292,15
2016,"56329",1,0
2017,"75023",19124,50
2018,"76884",93,0
2019,"75028",13571,31
2019,"77573",26483,59
2020,"75682",281,0
2019,"45044",1,0
2020,"79372",689,2
2020,"71109",3,0
2021,"79358",622,0
2019,"77532",14155,23
2016,"75241",23340,39
2021,"45895",1,0
2021,"78650",919,0
2016,"77068",5211,12
2017,"78224",14295,12
2017,"86001",1,0
2016,"78842",765,0
2021,"79501",1939,6
2021,"77025",8845,12
2020,"78534",1,0
2018,"79712",443,0
2016,"77021",16596,21
2022,"78548",1027,0
2018,"91977",1,0
2016,"80916",1,0
2022,"76096",198,1
2022,"77225",876,1
2019,"75791",6086,9
2016,"75258",1,0
2020,"33563",1,0
2019,"75101",326,0
2021,"73169",1,0
2019,"76041",224,0
2020,"75169",8946,18
2021,"78131",744,1
2017,"83815",1,0
2017,"77360",4041,8
2017,"97223",1,0
2018,"78741",17096,9
2016,"76462",1231,3
2016,"75946",1760,1
2016,"78551",648,0
2020,"79025",49,0
2019,"76905",5079,14
2016,"75233",8546,21
2020,"77240",129,0
2018,"55343",1,0
2022,"75460",8138,8
2017,"79950",38,0
2017,"79946",55,0
2016,"75189",10124,25
2016,"79101",1708,5
2019,"75460",14543,47
2017,"76449",1346,4
2020,"74033",1,0
2021,"57201",1,0
2018,"77082",24737,33
2017,"78523",1162,1
2019,"77611",4073,12
2017,"77954",6182,8
2018,"75211",38626,23
2017,"75684",3634,9
2017,"73064",2,0
2018,"79911",1224,1
2017,"79535",86,0
2020,"92629",1,0
2018,"77445",6984,8
2020,"70706",1,0
2021,"98531",1,0
2018,"78075",77,0
2022,"79415",5363,4
2019,"73573",1,0
2019,"75494",6411,21
2018,"34477",1,0
2021,"29708",1,0
2017,"32202",1,0
2018,"84095",1,0
2021,"74734",3,0
2016,"78330",511,0
2016,"78066",198,1
2019,"78680",332,0
2021,"95826",1,0
2016,"79520",1296,1
2020,"79243",31,0
2017,"34951",1,0
2019,"35951",1,0
2021,"79772",6320,7
2017,"77031",7781,8
2018,"79072",12269,18
2019,"79373",1671,2
2016,"75654",5756,8
2017,"98282",6,0
2016,"77364",1516,1
2021,"48334",1,0
2017,"80501",1,0
2018,"75779",176,0
2019,"78536",126,0
2017,"75756",2140,5
2021,"32936",1,0
2019,"21409",1,0
2020,"78213",22547,30
2021,"77541",8748,6
2019,"32693",1,0
2020,"79520",1278,4
2022,"76022",2784,0
2019,"92064",3,0
2017,"76031",10431,25
2021,"75425",50,0
2022,"76528",3974,9
2018,"75088",10714,26
2021,"76097",588,1
2022,"78660",16687,6
2021,"77468",104,0
2021,"78208",2805,3
2018,"27284",1,0
2021,"79699",2,0
2019,"75980",1693,5
2019,"45015",1,0
2017,"75117",2303,7
2019,"71851",6,0
2017,"78238",14556,32
2019,"77284",388,0
2016,"79704",296,0
2017,"48124",1,0
2016,"75773",7246,12
2016,"77857",400,0
2022,"75229",4408,1
2018,"74070",2,0
2017,"77951",1694,1
2016,"79527",141,0
2017,"75120",328,2
2019,"77700",2,0
2020,"89015",1,0
2017,"75014",111,1
2019,"75061",24587,34
2019,"33558",1,0
2019,"77083",33398,32
2018,"87043",1,0
2016,"77253",88,0
2020,"78150",1,0
2018,"77493",13375,29
2019,"76526",49,0
2021,"77465",4112,5
2020,"76943",1832,6
2017,"76233",1674,2
2017,"78117",163,0
2022,"76121",121,0
2017,"76945",1129,1
2020,"98383",1,0
2019,"94087",1,0
2017,"71052",1,0
2020,"48091",1,0
2020,"79549",6853,14
2019,"57701",1,0
2019,"73142",1,0
2017,"77518",5249,10
2020,"88027",2,0
2018,"73960",80,0
2018,"76491",190,0
2017,"78132",12748,29
2018,"73932",5,0
2018,"77725",432,0
2016,"76238",155,0
2019,"75865",47,0
2018,"79533",219,0
2016,"76511",1427,1
2022,"75141",2065,1
2021,"79056",37,0
2016,"28411",1,0
2021,"76354",5983,93
2017,"77448",353,0
2017,"78206",5,0
2020,"76487",1400,1
2021,"77290",306,1
2021,"91361",1,0
2017,"78426",204,0
2021,"79239",58,0
2020,"79084",861,0
2016,"74759",3,0
2016,"73562",1,0
2017,"88008",1,0
2018,"46235",2,0
2019,"92261",1,0
2020,"74750",1,0
2017,"79092",605,3
2019,"79316",6089,14
2018,"75792",1923,1
2021,"70706",1,0
2021,"76518",761,0
2019,"78147",1139,2
2018,"75886",6,0
2018,"85340",1,0
2018,"75422",1365,3
2020,"71007",1,0
2021,"52804",1,0
2019,"01749",1,0
2020,"89436",3,0
2017,"79503",67,0
2016,"78593",3471,8
2018,"79404",6378,11
2021,"71357",1,0
2020,"39154",1,0
2017,"75205",6334,9
2018,"80122",1,0
2022,"79698",3,0
2020,"81122",1,0
2020,"93555",1,0
2020,"77369",944,6
2019,"76577",1571,0
2021,"76957",75,0
2017,"77465",3821,0
2021,"76446",4563,14
2020,"78945",5894,14
2018,"77615",598,2
2017,"77053",17029,13
2018,"29730",1,0
2021,"78358",1518,3
2017,"77346",21158,39
2022,"78257",861,1
2017,"79504",1680,3
2021,"66223",1,0
2022,"75039",1114,1
2021,"75242",8,0
2019,"01702",1,0
2016,"78244",15380,21
2020,"89061",1,0
2018,"65438",1,0
2020,"76939",77,2
2018,"79416",12041,34
2022,"79937",50,0
2018,"76049",15787,33
2020,"47804",1,0
2020,"78377",2198,3
2018,"23185",3,0
2019,"76367",4046,42
2017,"60403",1,0
2021,"78505",947,0
2020,"75944",703,0
2022,"78633",904,0
2016,"79121",2261,12
2021,"47834",1,0
2017,"77396",21246,17
2020,"78658",7,0
2019,"91423",1,0
2019,"78535",996,3
2022,"76127",9,0
2019,"78545",414,0
2021,"77834",883,2
2020,"37062",1,0
2016,"76116",26567,51
2016,"75417",1270,2
2017,"75437",615,4
2016,"28205",1,0
2018,"19130",1,0
2019,"75633",7431,15
